"","time","female","age","wage","ltime"
"126",133,0,27,52.5999984741211,4.8903489112854
"127",91,0,28,49,4.51085948944092
"128",762,0,30,67.3000030517578,6.63594675064087
"129",123,0,35,76,4.81218433380127
"130",493,0,26,59.2000007629395,6.2005090713501
"131",1825,0,37,86.1999969482422,7.50933504104614
"132",154,0,26,74,5.03695249557495
"133",176,1,26,75.5,5.17048406600952
"134",33,0,28,49.5,3.49650764465332
"135",660,0,26,56.5999984741211,6.4922399520874
"136",107,0,45,103.099998474121,4.67282867431641
"137",339,1,30,0,5.82600021362305
"138",639,1,30,0,6.45990467071533
"139",836,1,39,204.100006103516,6.72862863540649
"140",219,1,43,56.0999984741211,5.38907194137573
"141",62,1,26,50.5,4.12713432312012
"142",1102,1,26,0,7.00488185882568
"143",220,0,32,70.9000015258789,5.39362764358521
"144",473,1,30,62.2000007629395,6.159095287323
"145",66,0,39,31.1000003814697,4.18965482711792
"146",310,1,30,107.699996948242,5.736572265625
"147",1371,1,44,91.8000030517578,7.22329568862915
"148",66,0,34,82.6999969482422,4.18965482711792
"149",1825,1,48,60.2000007629395,7.50933504104614
"150",285,1,41,48,5.65248918533325
"151",730,1,28,0,6.59304475784302
"152",517,1,46,54.5999984741211,6.24804306030273
"153",28,0,42,93.4000015258789,3.33220458030701
"154",669,0,49,133.699996948242,6.505784034729
"155",93,0,34,122.400001525879,4.53259944915771
"156",69,0,47,76,4.23410654067993
"157",62,1,42,45.9000015258789,4.12713432312012
"158",69,0,34,76,4.23410654067993
"159",596,0,29,103.599998474121,6.39024066925049
"160",712,0,36,50,6.56807804107666
"161",93,1,33,36.7000007629395,4.53259944915771
"162",1978,1,37,13.3000001907349,7.58984136581421
"163",182,0,28,74.5,5.20400667190552
"164",1460,0,43,136.699996948242,7.28619194030762
"165",273,0,38,92.9000015258789,5.60947179794312
"166",595,0,31,94.4000015258789,6.3885612487793
"167",20,0,44,64.3000030517578,2.99573230743408
"168",1644,1,38,42.9000015258789,7.40488767623901
"169",305,0,36,122.400001525879,5.72031164169312
"170",340,0,41,0,5.82894563674927
"171",1188,1,32,38.2999992370605,7.08002662658691
"172",92,0,28,86.6999969482422,4.52178859710693
"173",25,0,41,51.5,3.21887588500977
"174",406,0,47,64.8000030517578,6.0063533782959
"175",91,1,46,137.800003051758,4.51085948944092
"176",385,0,35,91.3000030517578,5.95324325561523
"177",1021,1,34,44.9000015258789,6.92853784561157
"178",352,1,29,42.9000015258789,5.86363124847412
"179",1851,0,30,74.5,7.52348136901855
"180",274,1,46,104.099998474121,5.61312818527222
"181",33,0,43,84.6999969482422,3.49650764465332
"182",25,0,26,64.8000030517578,3.21887588500977
"183",358,0,26,60.2000007629395,5.88053321838379
"184",152,0,39,66.3000030517578,5.02388048171997
"185",728,1,35,64.8000030517578,6.59030103683472
"186",65,0,46,56.0999984741211,4.17438745498657
"187",1865,1,41,31.6000003814697,7.53101634979248
"188",376,0,30,35.7000007629395,5.92958927154541
"189",449,1,26,41.7999992370605,6.10702276229858
"190",124,1,42,69.9000015258789,4.82028150558472
"191",91,0,30,115.300003051758,4.51085948944092
"192",11,0,28,83.1999969482422,2.39789533615112
"193",15,0,29,66.8000030517578,2.70805025100708
"194",385,1,26,34.2000007629395,5.95324325561523
"195",27,0,38,77.5999984741211,3.29583692550659
"196",364,1,37,39.2999992370605,5.89715385437012
"197",60,0,38,79.0999984741211,4.09434461593628
"198",16,1,29,73.5,2.7725887298584
"199",1181,0,37,81.0999984741211,7.07411670684814
"200",252,0,44,73,5.52942895889282
"201",27,1,26,29.6000003814697,3.29583692550659
"202",305,1,38,29.1000003814697,5.72031164169312
"203",884,1,27,53.0999984741211,6.78445720672607
"204",156,0,34,53.0999984741211,5.04985618591309
"205",32,0,35,30.6000003814697,3.465735912323
"206",185,1,46,69.9000015258789,5.22035598754883
"207",633,1,28,50.5,6.45047044754028
"208",547,1,47,66.3000030517578,6.30444860458374
"209",104,0,29,58.2000007629395,4.64439105987549
"210",367,0,36,71.4000015258789,5.90536165237427
"211",392,0,34,101.5,5.97126197814941
"212",32,1,43,68.9000015258789,3.465735912323
"213",670,1,30,77,6.5072774887085
"214",361,0,38,66.3000030517578,5.88887786865234
"215",670,0,42,41.7999992370605,6.5072774887085
"216",274,1,37,78.0999984741211,5.61312818527222
"217",449,0,33,63.2999992370605,6.10702276229858
"218",136,0,37,107.099998474121,4.91265487670898
"219",427,1,40,63.7999992370605,6.05678415298462
"220",119,0,27,51,4.77912330627441
"221",76,1,26,52.5999984741211,4.33073329925537
"222",1475,1,32,60.7000007629395,7.29641342163086
"223",436,1,45,120.400001525879,6.0776424407959
"224",608,1,30,46.9000015258789,6.41017484664917
"225",841,0,43,88.8000030517578,6.73459148406982
"226",75,0,33,82.6999969482422,4.31748819351196
"227",17,0,43,67.9000015258789,2.83321332931519
"228",749,0,29,51.5,6.61873912811279
"229",82,0,34,92.9000015258789,4.40671920776367
"230",81,0,33,57.0999984741211,4.39444923400879
"231",335,1,33,66.3000030517578,5.8141303062439
"232",1249,1,29,42.2999992370605,7.13009834289551
"233",1072,1,43,25,6.97728157043457
"234",669,1,48,47.4000015258789,6.505784034729
"235",96,0,47,105.099998474121,4.5643482208252
"236",2,0,37,70.9000015258789,0.6931471824646
"237",494,1,36,76,6.20253562927246
"238",107,0,33,84.1999969482422,4.67282867431641
"239",105,0,28,81.5999984741211,4.65396022796631
"240",152,0,39,58.2000007629395,5.02388048171997
"241",216,0,46,67.9000015258789,5.37527847290039
"242",133,0,38,96.9000015258789,4.8903489112854
"243",44,1,34,75.5,3.78418970108032
"244",228,1,47,78.5999984741211,5.42934560775757
"245",167,1,33,57.7000007629395,5.11799383163452
"246",229,1,34,55.0999984741211,5.43372201919556
"247",93,1,41,71.4000015258789,4.53259944915771
"248",61,0,35,80.0999984741211,4.11087369918823
"249",265,1,33,53.0999984741211,5.57973003387451
"250",126,1,41,79.5999984741211,4.83628177642822
"251",152,0,32,66.8000030517578,5.02388048171997
"252",259,0,26,67.9000015258789,5.55682802200317
"253",124,0,26,71.4000015258789,4.82028150558472
"254",185,1,41,92.9000015258789,5.22035598754883
"255",45,1,26,51.5,3.80666255950928
"256",1055,0,28,40.7999992370605,6.96129608154297
"257",324,0,30,66.8000030517578,5.78074359893799
"258",46,1,29,49.5,3.82864141464233
"259",36,0,35,134.699996948242,3.58351898193359
"260",887,0,34,68.4000015258789,6.78784513473511
"261",349,0,29,65.8000030517578,5.85507202148438
"262",274,1,43,30.6000003814697,5.61312818527222
"263",62,1,33,51,4.12713432312012
"264",232,1,40,0,5.44673728942871
"265",31,0,32,79.5999984741211,3.43398714065552
"266",183,0,34,71.4000015258789,5.20948600769043
"267",611,1,32,0,6.41509675979614
"268",852,1,31,0,6.74758672714233
"269",17,0,32,80.5999984741211,2.83321332931519
"270",1430,1,38,73,7.26542949676514
"271",84,0,29,88.8000030517578,4.43081665039062
"272",1060,1,29,24.5,6.96602439880371
"273",151,0,34,58.7000007629395,5.01727962493896
"274",123,1,27,49,4.81218433380127
"275",1184,1,32,63.7999992370605,7.07665395736694
"276",364,1,30,47.4000015258789,5.89715385437012
"277",96,0,36,98,4.5643482208252
"278",545,0,33,57.7000007629395,6.30078601837158
"279",816,0,26,69.9000015258789,6.70441436767578
"280",152,1,39,127.599998474121,5.02388048171997
"281",1195,0,34,57.0999984741211,7.08590126037598
"282",816,1,30,48,6.70441436767578
"283",158,0,28,82.6999969482422,5.06259489059448
"284",1789,0,40,50,7.48941230773926
"285",472,0,34,74.5,6.15697908401489
"286",19,0,26,60.7000007629395,2.94443893432617
"287",559,1,39,38.2999992370605,6.32614946365356
"288",99,0,30,100.5,4.59511995315552
"289",182,0,35,75,5.20400667190552
"290",32,1,44,42.9000015258789,3.465735912323
"291",91,1,30,73,4.51085948944092
"292",124,0,48,97.4000015258789,4.82028150558472
"293",32,0,29,106.599998474121,3.465735912323
"294",155,0,39,103.099998474121,5.0434250831604
"295",35,0,30,92.3000030517578,3.55534815788269
"296",611,1,35,48.5,6.41509675979614
"297",84,1,35,57.7000007629395,4.43081665039062
"298",44,1,31,17.8999996185303,3.78418970108032
"299",1735,0,45,101,7.45876264572144
"300",274,1,39,35.2000007629395,5.61312818527222
"301",93,0,40,45.4000015258789,4.53259944915771
"302",761,0,35,48,6.63463354110718
"303",92,1,43,39.7999992370605,4.52178859710693
"304",33,0,43,103.099998474121,3.49650764465332
"305",1011,0,27,60.2000007629395,6.9186954498291
"306",90,0,44,127.599998474121,4.49980974197388
"307",254,1,30,58.7000007629395,5.53733444213867
"308",1189,0,38,45.4000015258789,7.08086776733398
"309",374,0,31,73.5,5.92425584793091
"310",16,0,28,89.8000030517578,2.7725887298584
"311",121,1,26,67.9000015258789,4.79579067230225
"312",129,1,26,35.7000007629395,4.85981225967407
"313",547,0,27,31.6000003814697,6.30444860458374
"314",70,1,33,71.4000015258789,4.24849510192871
"315",1126,0,47,71.4000015258789,7.02642679214478
"316",450,0,48,0,6.10924768447876
"317",611,1,40,108.699996948242,6.41509675979614
"318",406,0,43,78.0999984741211,6.0063533782959
"319",78,1,44,93.9000015258789,4.35670900344849
"320",882,0,38,85.6999969482422,6.78219223022461
"321",667,0,49,62.7999992370605,6.50278997421265
"322",52,0,29,63.2999992370605,3.95124363899231
"323",866,1,31,0,6.76388502120972
"324",197,1,40,107.699996948242,5.28320360183716
"325",60,0,34,85.6999969482422,4.09434461593628
"326",93,1,27,58.2000007629395,4.53259944915771
"327",364,0,36,100,5.89715385437012
"328",122,1,43,33.2000007629395,4.80402088165283
"329",1674,0,32,0,7.42297124862671
"330",467,1,28,42.9000015258789,6.14632940292358
"331",731,0,34,105.599998474121,6.59441328048706
"332",91,1,38,27,4.51085948944092
"333",96,0,28,76,4.5643482208252
"334",66,0,29,71.9000015258789,4.18965482711792
"335",1218,0,44,94.9000015258789,7.10496520996094
"336",776,1,28,61.7000007629395,6.65415239334106
"337",2024,0,28,64.3000030517578,7.61283111572266
"338",489,0,47,0,6.1923623085022
"339",504,1,49,62.2000007629395,6.22257614135742
"340",412,0,45,37.7999992370605,6.02102327346802
"341",20,0,40,131.100006103516,2.99573230743408
"342",22,0,42,50,3.09104251861572
"343",321,1,32,30.6000003814697,5.7714409828186
"344",821,1,40,19.8999996185303,6.71052312850952
"345",47,0,45,54.0999984741211,3.85014748573303
"346",99,0,34,92.9000015258789,4.59511995315552
"347",127,0,30,204.100006103516,4.84418725967407
"348",489,1,30,66.8000030517578,6.1923623085022
"349",34,0,31,67.3000030517578,3.52636051177979
"350",609,0,34,64.3000030517578,6.4118185043335
"351",55,0,47,69.9000015258789,4.00733327865601
"352",924,0,37,0,6.82871198654175
"353",35,0,26,21.3999996185303,3.55534815788269
"354",226,1,45,51,5.42053508758545
"355",48,0,34,0,3.8712010383606
"356",121,1,35,72.4000015258789,4.79579067230225
"357",1316,0,37,80.5999984741211,7.18235206604004
"358",91,1,42,54.5999984741211,4.51085948944092
"359",582,0,43,105.099998474121,6.36647033691406
"360",1724,0,37,74.5,7.45240259170532
"361",1775,0,32,76.5,7.4815559387207
"362",9,0,32,82.0999984741211,2.19722461700439
"363",4,0,39,134.699996948242,1.3862943649292
"364",107,0,27,53.0999984741211,4.67282867431641
"365",102,0,29,56.5999984741211,4.62497282028198
"366",792,0,29,78.5999984741211,6.67456150054932
"367",487,1,33,59.2000007629395,6.18826389312744
"368",623,1,33,91.8000030517578,6.43454647064209
"369",647,1,31,0,6.47234630584717
"370",2028,0,46,46.4000015258789,7.61480522155762
"371",105,1,42,23,4.65396022796631
"372",1130,1,38,76,7.02997303009033
"373",150,0,30,67.9000015258789,5.01063537597656
"374",64,1,31,57.7000007629395,4.1588830947876
"375",395,0,39,59.7000007629395,5.97888565063477
"376",538,0,29,34.7000007629395,6.28785848617554
"377",1009,0,37,58.2000007629395,6.91671514511108
"378",1353,0,35,73,7.21007966995239
"379",33,0,35,96.4000015258789,3.49650764465332
"380",658,0,29,88.8000030517578,6.48920488357544
"381",397,0,37,62.2000007629395,5.98393630981445
"382",765,1,45,49.5,6.63987588882446
"383",364,1,35,0,5.89715385437012
"384",52,1,30,50.5,3.95124363899231
"385",65,0,27,59.7000007629395,4.17438745498657
"386",9,0,29,75.5,2.19722461700439
"387",243,1,28,65.8000030517578,5.49306154251099
"388",1943,1,33,0,7.57198858261108
"389",49,0,27,108.699996948242,3.89182019233704
"390",154,0,35,71.4000015258789,5.03695249557495
"391",898,1,34,0,6.80016994476318
"392",304,1,47,26.5,5.71702766418457
"393",2024,1,49,0,7.61283111572266
"394",550,0,27,52.5999984741211,6.30991840362549
"395",168,0,42,55.0999984741211,5.12396383285522
"396",287,0,28,75,5.6594820022583
"397",669,0,28,76,6.505784034729
"398",861,1,29,0,6.7580943107605
"399",1530,1,28,51,7.33302307128906
"400",32,0,43,76.5,3.465735912323
"401",29,0,31,70.4000015258789,3.36729574203491
"402",78,1,40,68.4000015258789,4.35670900344849
"403",243,1,30,69.9000015258789,5.49306154251099
"404",152,0,39,101.5,5.02388048171997
"405",216,0,47,128.600006103516,5.37527847290039
"406",215,0,26,86.6999969482422,5.37063789367676
"407",19,0,37,101,2.94443893432617
"408",105,0,26,73.5,4.65396022796631
"409",352,1,31,53.5999984741211,5.86363124847412
"410",623,0,37,86.6999969482422,6.43454647064209
"411",100,0,38,90.3000030517578,4.60517024993896
"412",1705,1,48,204.100006103516,7.44132041931152
"413",62,0,34,133.199996948242,4.12713432312012
"414",35,1,26,48,3.55534815788269
"415",202,0,35,69.9000015258789,5.30826759338379
"416",510,0,39,0,6.23441076278687
"417",61,0,42,124,4.11087369918823
"418",1400,0,47,90.3000030517578,7.24422740936279
"419",1552,0,26,46.4000015258789,7.34729957580566
"420",722,0,43,64.8000030517578,6.58202505111694
"421",245,0,48,55.0999984741211,5.5012583732605
"422",1307,0,45,68.9000015258789,7.17548990249634
"423",401,0,39,76.5,5.99396133422852
"424",305,1,31,49,5.72031164169312
"425",75,0,43,57.7000007629395,4.31748819351196
"426",1219,0,43,69.4000015258789,7.10578632354736
"427",642,1,43,82.0999984741211,6.4645881652832
"428",63,1,27,50,4.14313459396362
"429",397,1,40,112.800003051758,5.98393630981445
"430",609,0,40,79.0999984741211,6.4118185043335
"431",113,0,31,66.8000030517578,4.72738790512085
"432",113,0,48,33.7000007629395,4.72738790512085
"433",288,1,37,0,5.66296052932739
"434",594,0,38,59.2000007629395,6.38687944412231
"435",257,1,32,52.5999984741211,5.54907608032227
"436",13,0,45,65.8000030517578,2.56494927406311
"437",82,1,42,30.1000003814697,4.40671920776367
"438",1035,0,30,51.5,6.94215679168701
"439",323,1,46,65.8000030517578,5.77765226364136
"440",1037,0,42,58.2000007629395,6.94408702850342
"441",373,1,36,40.7999992370605,5.9215784072876
"442",177,0,29,49,5.17614984512329
"443",66,0,31,66.8000030517578,4.18965482711792
"444",73,1,36,42.9000015258789,4.29045963287354
"445",32,1,36,0,3.465735912323
"446",365,0,37,70.4000015258789,5.89989757537842
"447",108,0,26,76.5,4.68213129043579
"448",307,0,35,100.5,5.72684764862061
"449",15,0,46,69.4000015258789,2.70805025100708
"450",516,0,33,103.599998474121,6.24610662460327
"451",287,0,46,63.2999992370605,5.6594820022583
"452",137,0,40,49.5,4.91998100280762
"453",185,0,45,10.1999998092651,5.22035598754883
"454",405,0,27,0,6.00388717651367
"455",763,0,44,68.4000015258789,6.63725805282593
"456",609,1,32,35.2000007629395,6.4118185043335
"457",1050,1,43,88.8000030517578,6.95654535293579
"458",213,0,43,62.7999992370605,5.36129236221313
"459",47,0,26,66.3000030517578,3.85014748573303
"460",27,0,49,83.1999969482422,3.29583692550659
"461",1084,1,26,89.3000030517578,6.98841333389282
"462",670,1,27,74,6.5072774887085
"463",1418,1,39,102,7.25700283050537
"464",656,0,45,0,6.48616075515747
"465",1371,0,32,51,7.22329568862915
"466",630,1,34,41.7999992370605,6.44571971893311
"467",24,0,43,57.0999984741211,3.178053855896
"468",1004,0,30,67.3000030517578,6.91174745559692
"469",371,0,44,62.7999992370605,5.91620206832886
"470",113,1,29,81.0999984741211,4.72738790512085
"471",742,0,39,116.800003051758,6.60934925079346
"472",56,0,45,110.699996948242,4.02535152435303
"473",45,0,33,97.4000015258789,3.80666255950928
"474",1491,0,39,70.9000015258789,7.30720233917236
"475",25,0,36,61.2000007629395,3.21887588500977
"476",83,0,34,33.7000007629395,4.4188404083252
"477",75,1,30,63.2999992370605,4.31748819351196
"478",62,0,30,204.100006103516,4.12713432312012
"479",1175,1,26,21.3999996185303,7.06902360916138
"480",43,0,49,106.599998474121,3.76120018959045
"481",700,0,37,74.5,6.55108022689819
"482",1405,0,40,68.9000015258789,7.24779272079468
"483",424,0,38,133.699996948242,6.04973363876343
"484",186,0,48,73.5,5.22574663162231
"485",29,1,28,37.7999992370605,3.36729574203491
"486",700,1,26,38.2999992370605,6.55108022689819
"487",370,1,31,102.599998474121,5.91350317001343
"488",46,1,43,37.2000007629395,3.82864141464233
"489",103,1,35,0,4.63472890853882
"490",1835,0,47,0,7.51479959487915
"491",594,1,27,58.2000007629395,6.38687944412231
"492",98,0,39,82.6999969482422,4.58496761322021
"493",166,1,37,16.2999992370605,5.11198759078979
"494",92,0,33,101,4.52178859710693
"495",511,0,26,74,6.23636960983276
"496",229,1,41,41.2999992370605,5.43372201919556
"497",411,0,42,0,6.01859331130981
"498",351,1,30,0,5.86078643798828
"499",244,0,30,89.3000030517578,5.49716806411743
"500",1035,0,40,68.9000015258789,6.94215679168701
"501",60,1,38,60.2000007629395,4.09434461593628
"502",756,0,40,68.4000015258789,6.62804126739502
"503",289,1,29,52,5.66642665863037
"504",669,0,47,46.4000015258789,6.505784034729
"505",961,1,31,81.0999984741211,6.86797428131104
"506",1363,1,43,0,7.21744346618652
"507",349,0,38,85.1999969482422,5.85507202148438
"508",81,1,32,0,4.39444923400879
"509",243,0,34,49,5.49306154251099
"510",305,1,29,69.9000015258789,5.72031164169312
"511",45,1,37,54.0999984741211,3.80666255950928
"512",20,0,31,64.8000030517578,2.99573230743408
"513",56,0,40,53.5999984741211,4.02535152435303
"514",1308,0,39,83.1999969482422,7.1762547492981
"515",879,0,29,59.2000007629395,6.77878475189209
"516",185,0,34,67.9000015258789,5.22035598754883
"517",1311,1,44,29.1000003814697,7.1785454750061
"518",722,1,46,37.2000007629395,6.58202505111694
"519",274,0,41,131.600006103516,5.61312818527222
"520",12,0,32,89.3000030517578,2.4849066734314
"521",185,0,34,73.5,5.22035598754883
"522",300,1,32,56.5999984741211,5.70378255844116
"523",335,0,27,39.2999992370605,5.8141303062439
"524",416,1,30,57.0999984741211,6.03068542480469
"525",111,0,42,67.9000015258789,4.70953035354614
"526",1349,0,37,70.4000015258789,7.20711898803711
"527",377,0,28,15.8000001907349,5.9322452545166
"528",550,0,44,92.9000015258789,6.30991840362549
"529",427,1,28,51.5,6.05678415298462
"530",329,0,31,105.099998474121,5.79605770111084
"531",334,0,29,88.3000030517578,5.81114101409912
"532",19,0,43,49,2.94443893432617
"533",28,0,32,79.0999984741211,3.33220458030701
"534",2039,0,49,79.5999984741211,7.62021493911743
"535",591,1,30,71.9000015258789,6.38181591033936
"536",244,0,40,51,5.49716806411743
"537",15,1,34,53.5999984741211,2.70805025100708
"538",1127,1,35,0,7.02731466293335
"539",7,0,26,59.2000007629395,1.94591009616852
"540",1155,0,34,87.1999969482422,7.05185556411743
"541",121,0,34,54.5999984741211,4.79579067230225
"542",73,0,27,83.1999969482422,4.29045963287354
"543",15,0,27,71.9000015258789,2.70805025100708
"544",60,0,33,51,4.09434461593628
"545",74,0,46,100.5,4.30406522750854
"546",1170,0,34,16.7999992370605,7.06475925445557
"547",1553,1,45,0,7.3479437828064
"548",519,1,35,0,6.25190401077271
"549",49,0,30,92.3000030517578,3.89182019233704
"550",67,0,40,57.7000007629395,4.20469284057617
"551",52,0,31,37.2000007629395,3.95124363899231
"552",54,0,40,61.7000007629395,3.98898410797119
"553",79,0,35,64.8000030517578,4.36944770812988
"554",1951,0,28,60.2000007629395,7.57609748840332
"555",93,1,28,73.5,4.53259944915771
"556",27,1,32,81.5999984741211,3.29583692550659
"557",578,0,28,100.5,6.35957384109497
"558",24,1,29,33.7000007629395,3.178053855896
"559",93,1,29,41.7999992370605,4.53259944915771
"560",183,1,37,106.599998474121,5.20948600769043
"561",55,0,38,105.099998474121,4.00733327865601
"562",7,1,39,93.9000015258789,1.94591009616852
"563",807,0,39,0,6.69332361221313
"564",1460,0,27,52,7.28619194030762
"565",35,1,40,54.0999984741211,3.55534815788269
"566",130,0,35,64.3000030517578,4.86753463745117
"567",515,0,41,89.3000030517578,6.2441668510437
"568",427,0,28,63.7999992370605,6.05678415298462
"569",674,0,32,50,6.5132303237915
"570",47,0,34,97.4000015258789,3.85014748573303
"571",284,0,26,90.3000030517578,5.64897441864014
"572",220,1,30,39.7999992370605,5.39362764358521
"573",503,1,36,0,6.22059011459351
"574",61,0,30,27.6000003814697,4.11087369918823
"575",104,0,28,83.1999969482422,4.64439105987549
"576",497,1,34,65.3000030517578,6.20859003067017
"577",77,1,31,80.5999984741211,4.34380531311035
"578",1198,1,31,0,7.08840894699097
"579",276,1,26,34.7000007629395,5.62040090560913
"580",45,0,28,58.2000007629395,3.80666255950928
"581",248,1,29,103.599998474121,5.51342868804932
"582",1400,0,41,0,7.24422740936279
"583",1157,0,49,81.0999984741211,7.05358552932739
"584",119,1,27,68.9000015258789,4.77912330627441
"585",124,1,34,62.2000007629395,4.82028150558472
"586",80,0,27,87.1999969482422,4.38202667236328
"587",366,0,48,109.199996948242,5.90263319015503
"588",105,0,39,133.699996948242,4.65396022796631
"589",151,0,27,60.2000007629395,5.01727962493896
"590",52,0,27,73.5,3.95124363899231
"591",918,1,30,38.7999992370605,6.82219743728638
"592",145,0,26,114.800003051758,4.97673368453979
"593",370,1,29,71.9000015258789,5.91350317001343
